smiles	status	PUBCHEM_CID	InChI	IUPAC	Isomeric_SMILES	Name	Source
C1CN=C(O1)NC(C1CC1)C1CC1.C1CN=C(O1)NC(C1CC1)C1CC1.OC(=O)C=CC(=O)O	0	44134935	InChI=1S/2C10H16N2O.C4H4O4/c2*1-2-7(1)9(8-3-4-8)12-10-11-5-6-13-10;5-3(6)1-2-4(7)8/h2*7-9H,1-6H2,(H,11,12);1-2H,(H,5,6)(H,7,8)	but-2-enedioic acid;N-(dicyclopropylmethyl)-4,5-dihydro-1,3-oxazol-2-amine	C1CC1C(C2CC2)NC3=NCCO3.C1CC1C(C2CC2)NC3=NCCO3.C(=CC(=O)O)C(=O)O	Rilmenidine hemifumarate	PMID: 24134630
CC(C[C@@H](C(=O)N[C@H](C(=O)[O-])Cc1c[nH]c2c1cccc2)NP(=O)(O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)[O-])C.[Na+].[Na+]	0	16219931	InChI=1S/C23H34N3O10P.2Na/c1-11(2)8-16(26-37(33,34)36-23-20(29)19(28)18(27)12(3)35-23)21(30)25-17(22(31)32)9-13-10-24-15-7-5-4-6-14(13)15;;/h4-7,10-12,16-20,23-24,27-29H,8-9H2,1-3H3,(H,25,30)(H,31,32)(H2,26,33,34);;/q;2*+1/p-2/t12-,16-,17-,18-,19+,20+,23-;;/m0../s1	disodium;(2S)-3-(1H-indol-3-yl)-2-[[(2S)-4-methyl-2-[[oxido-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyphosphoryl]amino]pentanoyl]amino]propanoate	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OP(=O)(N[C@@H](CC(C)C)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)[O-])[O-])O)O)O.[Na+].[Na+]	Phosphoramidon disodium	PMID: 24134630
CC1CNCCN1S(=O)(=O)c1cccc2c1ccnc2.Cl.Cl	0	73332	InChI=1S/C14H17N3O2S.2ClH/c1-11-9-16-7-8-17(11)20(18,19)14-4-2-3-12-10-15-6-5-13(12)14;;/h2-6,10-11,16H,7-9H2,1H3;2*1H	5-(2-methylpiperazin-1-yl)sulfonylisoquinoline;dihydrochloride	CC1CNCCN1S(=O)(=O)C2=CC=CC3=C2C=CN=C3.Cl.Cl	1-(5-Isoquinolinylsulfonyl)-2-methylpiperazine dihydrochloride	PMID: 24134630
CC1NCCN(C1)S(=O)(=O)c1cccc2c1ccnc2.Cl.Cl	0	11957580	InChI=1S/C14H17N3O2S.2ClH/c1-11-10-17(8-7-16-11)20(18,19)14-4-2-3-12-9-15-6-5-13(12)14;;/h2-6,9,11,16H,7-8,10H2,1H3;2*1H	5-(3-methylpiperazin-1-yl)sulfonylisoquinoline;dihydrochloride	CC1CN(CCN1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3.Cl.Cl	1-(5-Isoquinolinylsulfonyl)-3-methylpiperazine dihydrochloride	PMID: 24134630
CCCN1CCC[C@@H]2[C@@H]1Cc1cn[nH]c1C2.Cl.Cl	0	155797	InChI=1S/C13H21N3.2ClH/c1-2-5-16-6-3-4-10-7-12-11(8-13(10)16)9-14-15-12;;/h9-10,13H,2-8H2,1H3,(H,14,15);2*1H/t10-,13-;;/m0../s1	(4aS,8aS)-5-propyl-1,4,4a,6,7,8,8a,9-octahydropyrazolo[3,4-g]quinoline;dihydrochloride	CCCN1CCC[C@@H]2[C@@H]1CC3=C(C2)NN=C3.Cl.Cl	(±)-Quinpirole dihydrochloride	PMID: 24134630
CCCN1CCC[C@H]2[C@H]1Cc1cnc(nc1C2)N.Cl.Cl	0	68728	InChI=1S/C14H22N4.2ClH/c1-2-5-18-6-3-4-10-7-12-11(8-13(10)18)9-16-14(15)17-12;;/h9-10,13H,2-8H2,1H3,(H2,15,16,17);2*1H/t10-,13-;;/m1../s1	(5aR,9aR)-6-propyl-5a,7,8,9,9a,10-hexahydro-5H-pyrido[2,3-g]quinazolin-2-amine;dihydrochloride	CCCN1CCC[C@H]2[C@H]1CC3=CN=C(N=C3C2)N.Cl.Cl	Quinelorane dihydrochloride	PMID: 24134630
CCN(CCN1C(=O)CN=C(c2c1ccc(c2)Cl)c1ccccc1F)CC.Cl.Cl	0	14434	InChI=1S/C21H23ClFN3O.2ClH/c1-3-25(4-2)11-12-26-19-10-9-15(22)13-17(19)21(24-14-20(26)27)16-7-5-6-8-18(16)23;;/h5-10,13H,3-4,11-12,14H2,1-2H3;2*1H	7-chloro-1-[2-(diethylamino)ethyl]-5-(2-fluorophenyl)-3H-1,4-benzodiazepin-2-one;dihydrochloride	CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F.Cl.Cl	Flurazepam dihydrochloride	10.1001/archneur.63.4.491
ClCCN(Cc1cc(Cl)c(c(c1)Cl)NC1=NCCN1)C.Cl.Cl	0	11957477	InChI=1S/C13H17Cl3N4.2ClH/c1-20(5-2-14)8-9-6-10(15)12(11(16)7-9)19-13-17-3-4-18-13;;/h6-7H,2-5,8H2,1H3,(H2,17,18,19);2*1H	N-[2,6-dichloro-4-[[2-chloroethyl(methyl)amino]methyl]phenyl]-4,5-dihydro-1H-imidazol-2-amine;dihydrochloride	CN(CCCl)CC1=CC(=C(C(=C1)Cl)NC2=NCCN2)Cl.Cl.Cl	Chloroethylclonidine dihydrochloride	PMID: 24134630
CN(C/C=C(\c1cccnc1)/c1ccc(cc1)Br)C.Cl.Cl	0	6436006	InChI=1S/C16H17BrN2.2ClH/c1-19(2)11-9-16(14-4-3-10-18-12-14)13-5-7-15(17)8-6-13;;/h3-10,12H,11H2,1-2H3;2*1H/b16-9-;;	(Z)-3-(4-bromophenyl)-N,N-dimethyl-3-pyridin-3-ylprop-2-en-1-amine;dihydrochloride	CN(C)C/C=C(/C1=CC=C(C=C1)Br)\C2=CN=CC=C2.Cl.Cl	Zimelidine dihydrochloride	PMID: 24134630
CN(CCCCSC(=N)N)C.Cl.Cl	0	11957708	InChI=1S/C7H17N3S.2ClH/c1-10(2)5-3-4-6-11-7(8)9;;/h3-6H2,1-2H3,(H3,8,9);2*1H	4-(dimethylamino)butyl carbamimidothioate;dihydrochloride	CN(C)CCCCSC(=N)N.Cl.Cl	SKF 91488 dihydrochloride	PMID: 24134630
Cn1cc(nc1)CCN.Cl.Cl	0	11957601	InChI=1S/C6H11N3.2ClH/c1-9-4-6(2-3-7)8-5-9;;/h4-5H,2-3,7H2,1H3;2*1H	2-(1-methylimidazol-4-yl)ethanamine;dihydrochloride	CN1C=C(N=C1)CCN.Cl.Cl	1-Methylhistamine dihydrochloride	PMID: 24134630
CN1CCN(CC1)CC(=O)N1c2ccccc2C(=O)Nc2c1nccc2.Cl.Cl	0	71405	InChI=1S/C19H21N5O2.2ClH/c1-22-9-11-23(12-10-22)13-17(25)24-16-7-3-2-5-14(16)19(26)21-15-6-4-8-20-18(15)24;;/h2-8H,9-13H2,1H3,(H,21,26);2*1H	11-[2-(4-methylpiperazin-1-yl)acetyl]-5H-pyrido[2,3-b][1,4]benzodiazepin-6-one;dihydrochloride	CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4.Cl.Cl	Pirenzepine dihydrochloride	PMID: 24134630
CN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2.OC(=O)/C=C\C(=O)O.OC(=O)/C=C\C(=O)O	0	5281032	InChI=1S/C20H24ClN3S.2C4H4O4/c1-22-11-13-23(14-12-22)9-4-10-24-17-5-2-3-6-19(17)25-20-8-7-16(21)15-18(20)24;2*5-3(6)1-2-4(7)8/h2-3,5-8,15H,4,9-14H2,1H3;2*1-2H,(H,5,6)(H,7,8)/b;2*2-1-	(Z)-but-2-enedioic acid;2-chloro-10-[3-(4-methylpiperazin-1-yl)propyl]phenothiazine	CN1CCN(CC1)CCCN2C3=C(SC4=CC=CC=C24)C=CC(=C3)Cl.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O	Prochlorperazine dimaleate	PMID: 24134630
CNc1nc(NC)nc(c1)NS(=O)(=O)c1ccc(cc1)N.Cl.Cl	0	11957681	InChI=1S/C12H16N6O2S.2ClH/c1-14-10-7-11(17-12(15-2)16-10)18-21(19,20)9-5-3-8(13)4-6-9;;/h3-7H,13H2,1-2H3,(H3,14,15,16,17,18);2*1H	4-amino-N-[2,6-bis(methylamino)pyrimidin-4-yl]benzenesulfonamide;dihydrochloride	CNC1=CC(=NC(=N1)NC)NS(=O)(=O)C2=CC=C(C=C2)N.Cl.Cl	Ro 04-6790 dihydrochloride	PMID: 24134630
COc1cccc(c1[O-])C=NCCN=Cc1cccc(c1[O-])OC.[Cl-].[Mn+3]	1	9823233	InChI=1S/C18H20N2O4.ClH.Mn/c1-23-15-7-3-5-13(17(15)21)11-19-9-10-20-12-14-6-4-8-16(24-2)18(14)22;;/h3-8,11-12,21-22H,9-10H2,1-2H3;1H;/q;;+3/p-3	manganese(3+);2-methoxy-6-[2-[(3-methoxy-2-oxidophenyl)methylideneamino]ethyliminomethyl]phenolate;chloride	COC1=CC=CC(=C1[O-])C=NCCN=CC2=C(C(=CC=C2)OC)[O-].[Cl-].[Mn+3]	EUK-134	DrugAge Database
COc1ccccc1N1CCN(CC1)CC(COc1cccc2c1cccc2)O.Cl.Cl	1	11957660	InChI=1S/C24H28N2O3.2ClH/c1-28-24-11-5-4-10-22(24)26-15-13-25(14-16-26)17-20(27)18-29-23-12-6-8-19-7-2-3-9-21(19)23;;/h2-12,20,27H,13-18H2,1H3;2*1H	1-[4-(2-methoxyphenyl)piperazin-1-yl]-3-naphthalen-1-yloxypropan-2-ol;dihydrochloride	COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC4=CC=CC=C43)O.Cl.Cl	Naftopidil dihydrochloride	DrugAge Database
Fc1ccc(cc1)C(c1ccc(cc1)F)N1CCN(CC1)C/C=C/c1ccccc1.Cl.Cl	1	5282407	InChI=1S/C26H26F2N2.2ClH/c27-24-12-8-22(9-13-24)26(23-10-14-25(28)15-11-23)30-19-17-29(18-20-30)16-4-7-21-5-2-1-3-6-21;;/h1-15,26H,16-20H2;2*1H/b7-4+;;	1-[bis(4-fluorophenyl)methyl]-4-[(E)-3-phenylprop-2-enyl]piperazine;dihydrochloride	C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl.Cl	Flunarizine hydrochloride II	DrugAge Database
N[C@@H](CC(C)C)CSSC[C@H](CC(C)C)N.Cl.Cl	0	196663	InChI=1S/C12H28N2S2.2ClH/c1-9(2)5-11(13)7-15-16-8-12(14)6-10(3)4;;/h9-12H,5-8,13-14H2,1-4H3;2*1H/t11-,12-;;/m0../s1	(2S)-1-[[(2S)-2-amino-4-methylpentyl]disulfanyl]-4-methylpentan-2-amine;dihydrochloride	CC(C)C[C@@H](CSSC[C@H](CC(C)C)N)N.Cl.Cl	L-Leucinethiol, oxidized dihydrochloride	PMID: 24134630
N[C@H](C(=O)O)C(C)C.N[C@H](C(=O)O)CC(C)C.CC[C@@H]([C@@H](C(=O)O)N)C	1	9907842	InChI=1S/2C6H13NO2.C5H11NO2/c1-4(2)3-5(7)6(8)9;1-3-4(2)5(7)6(8)9;1-3(2)4(6)5(7)8/h2*4-5H,3,7H2,1-2H3,(H,8,9);3-4H,6H2,1-2H3,(H,7,8)/t5-;4-,5-;4-/m000/s1	(2S)-2-amino-3-methylbutanoic acid;(2S)-2-amino-4-methylpentanoic acid;(2S,3S)-2-amino-3-methylpentanoic acid	CC[C@H](C)[C@@H](C(=O)O)N.CC(C)C[C@@H](C(=O)O)N.CC(C)[C@@H](C(=O)O)N	Branched-Chain Amino Acids	DrugAge Database
N#Cc1cc2nc([O-])c(nc2cc1[N+](=O)[O-])[O-].[Na+].[Na+]	0	2821	InChI=1S/C9H4N4O4.2Na/c10-3-4-1-5-6(2-7(4)13(16)17)12-9(15)8(14)11-5;;/h1-2H,(H,11,14)(H,12,15);;/q;2*+1/p-2	disodium;6-cyano-7-nitroquinoxaline-2,3-diolate	C1=C(C(=CC2=C1N=C(C(=N2)[O-])[O-])[N+](=O)[O-])C#N.[Na+].[Na+]	CNQX disodium	PMID: 24134630
N1CCN(CC1)c1ccc2c(n1)cccc2.OC(=O)/C=C\C(=O)O.OC(=O)/C=C\C(=O)O	0	6420043	InChI=1S/C13H15N3.2C4H4O4/c1-2-4-12-11(3-1)5-6-13(15-12)16-9-7-14-8-10-16;2*5-3(6)1-2-4(7)8/h1-6,14H,7-10H2;2*1-2H,(H,5,6)(H,7,8)/b;2*2-1-	(Z)-but-2-enedioic acid;2-piperazin-1-ylquinoline	C1NCCN(C1)C2=NC3=CC=CC=C3C=C2.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O	Quipazine dimaleate	PMID: 24134630
NC(=N)c1ccc(cc1)OCCCCCOc1ccc(cc1)C(=N)N.OCCS(=O)(=O)O.OCCS(=O)(=O)O	0	8813	InChI=1S/C19H24N4O2.2C2H6O4S/c20-18(21)14-4-8-16(9-5-14)24-12-2-1-3-13-25-17-10-6-15(7-11-17)19(22)23;2*3-1-2-7(4,5)6/h4-11H,1-3,12-13H2,(H3,20,21)(H3,22,23);2*3H,1-2H2,(H,4,5,6)	4-[5-(4-carbamimidoylphenoxy)pentoxy]benzenecarboximidamide;2-hydroxyethanesulfonic acid	C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N.C(CS(=O)(=O)O)O.C(CS(=O)(=O)O)O	Pentamidine isethionate	PMID: 24134630
NCCNS(=O)(=O)c1cccc2c1ccnc2.Cl.Cl	0	11957465	InChI=1S/C11H13N3O2S.2ClH/c12-5-7-14-17(15,16)11-3-1-2-9-8-13-6-4-10(9)11;;/h1-4,6,8,14H,5,7,12H2;2*1H	N-(2-aminoethyl)isoquinoline-5-sulfonamide;dihydrochloride	C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCN.Cl.Cl	H-9 dihydrochloride	PMID: 24134630
NOCC(=O)O.NOCC(=O)O.Cl	0	2723609	InChI=1S/2C2H5NO3.ClH/c2*3-6-1-2(4)5;/h2*1,3H2,(H,4,5);1H	2-aminooxyacetic acid;hydrochloride	C(C(=O)O)ON.C(C(=O)O)ON.Cl	O-(Carboxymethyl)hydroxylamine hemihydrochloride	PMID: 24134630
O[C@H]([C@H](C(=O)O)O)C(=O)O.COCCc1ccc(cc1)OCC(CNC(C)C)O.COCCc1ccc(cc1)OCC(CNC(C)C)O	0	441308	InChI=1S/2C15H25NO3.C4H6O6/c2*1-12(2)16-10-14(17)11-19-15-6-4-13(5-7-15)8-9-18-3;5-1(3(7)8)2(6)4(9)10/h2*4-7,12,14,16-17H,8-11H2,1-3H3;1-2,5-6H,(H,7,8)(H,9,10)/t;;1-,2-/m..1/s1	(2R,3R)-2,3-dihydroxybutanedioic acid;1-[4-(2-methoxyethyl)phenoxy]-3-(propan-2-ylamino)propan-2-ol	CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O	(±)-Metoprolol (+)-tartrate	PMID: 24134630
O[C@H]([C@H](C(=O)O)O)C(=O)O.Oc1ccc(cc1)C(C(N1CCC(CC1)Cc1ccccc1)C)O.Oc1ccc(cc1)C(C(N1CCC(CC1)Cc1ccccc1)C)O	0	656586	InChI=1S/2C21H27NO2.C4H6O6/c2*1-16(21(24)19-7-9-20(23)10-8-19)22-13-11-18(12-14-22)15-17-5-3-2-4-6-17;5-1(3(7)8)2(6)4(9)10/h2*2-10,16,18,21,23-24H,11-15H2,1H3;1-2,5-6H,(H,7,8)(H,9,10)/t;;1-,2-/m..1/s1	4-[2-(4-benzylpiperidin-1-yl)-1-hydroxypropyl]phenol;(2R,3R)-2,3-dihydroxybutanedioic acid	CC(C(C1=CC=C(C=C1)O)O)N2CCC(CC2)CC3=CC=CC=C3.CC(C(C1=CC=C(C=C1)O)O)N2CCC(CC2)CC3=CC=CC=C3.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O	Ifenprodil tartrate	PMID: 24134630
O[C@H]1[C@@H](COP(=O)(CP(=O)(OP(=O)([O-])[O-])O)O)O[C@H](C1O)n1cnc2c1ncnc2N.[Li+].[Li+]	0	11957603	InChI=1S/C11H18N5O12P3.2Li/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-29(19,20)4-30(21,22)28-31(23,24)25;;/h2-3,5,7-8,11,17-18H,1,4H2,(H,19,20)(H,21,22)(H2,12,13,14)(H2,23,24,25);;/q;2*+1/p-2/t5-,7+,8?,11-;;/m1../s1	dilithium;[[[(2R,3R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]methyl-hydroxyphosphoryl] phosphate	[Li+].[Li+].C1=NC(=C2C(=N1)N(C=N2)[C@H]3C([C@H]([C@H](O3)COP(=O)(CP(=O)(O)OP(=O)([O-])[O-])O)O)O)N	alpha,beta-Methylene adenosine 5'-triphosphate dilithium	PMID: 24134630
O=C1C=C[C@]2(C(=C1)CC[C@@H]1[C@]2(F)[C@@H](O)C[C@]2([C@H]1C[C@H]([C@]2(O)C(=O)COP(=O)([O-])[O-])C)C)C.[Na+].[Na+]	1	16961	InChI=1S/C22H30FO8P.2Na/c1-12-8-16-15-5-4-13-9-14(24)6-7-19(13,2)21(15,23)17(25)10-20(16,3)22(12,27)18(26)11-31-32(28,29)30;;/h6-7,9,12,15-17,25,27H,4-5,8,10-11H2,1-3H3,(H2,28,29,30);;/q;2*+1/p-2/t12-,15+,16+,17+,19+,20+,21+,22+;;/m1../s1	disodium;[2-[(8S,9R,10S,11S,13S,14S,16R,17R)-9-fluoro-11,17-dihydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] phosphate	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COP(=O)([O-])[O-])O)C)O)F)C.[Na+].[Na+]	Dexamethasone sodium phosphate	DrugAge Database
O=C1SCC(N1)C(=O)[O-].O=C1SCC(N1)C(=O)[O-].[Mg+2]	1	9858113	InChI=1S/2C4H5NO3S.Mg/c2*6-3(7)2-1-9-4(8)5-2;/h2*2H,1H2,(H,5,8)(H,6,7);/q;;+2/p-2	magnesium;2-oxo-1,3-thiazolidine-4-carboxylate	C1C(NC(=O)S1)C(=O)[O-].C1C(NC(=O)S1)C(=O)[O-].[Mg+2]	magnesium L-thiazolidine-4-carboxylate	DrugAge Database
OC(=O)C=CC(=O)O.NCCC#N.NCCC#N	0	80302	InChI=1S/C4H4O4.2C3H6N2/c5-3(6)1-2-4(7)8;2*4-2-1-3-5/h1-2H,(H,5,6)(H,7,8);2*1-2,4H2	3-aminopropanenitrile;but-2-enedioic acid	C(CN)C#N.C(CN)C#N.C(=CC(=O)O)C(=O)O	3-Aminopropionitrile fumarate	PMID: 24134630
Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O.O.O	1	5284452	InChI=1S/C15H10O7.2H2O/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6;;/h1-5,16-19,21H;2*1H2	2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one;dihydrate	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O.O.O	Quercetin dihydrate	DrugAge Database
Oc1ccc2c3c1O[C@@H]1[C@@]43CCN([C@H](C2)[C@]4(O)Cc2c1[nH]c1c2C[C@@]2([C@@]34[C@H]1Oc1c4c(C[C@H]2N(CC3)CC2CC2)ccc1O)O)CC1CC1.Cl.Cl	0	11957626	InChI=1S/C40H43N3O6.2ClH/c44-25-7-5-21-13-27-39(46)15-23-24-16-40(47)28-14-22-6-8-26(45)34-30(22)38(40,10-12-43(28)18-20-3-4-20)36(49-34)32(24)41-31(23)35-37(39,29(21)33(25)48-35)9-11-42(27)17-19-1-2-19;;/h5-8,19-20,27-28,35-36,41,44-47H,1-4,9-18H2;2*1H/t27-,28-,35+,36+,37+,38+,39-,40-;;/m1../s1	(1S,2S,7S,8S,12R,20R,24R,32R)-11,33-bis(cyclopropylmethyl)-19,25-dioxa-11,22,33-triazaundecacyclo[24.9.1.18,14.01,24.02,32.04,23.05,21.07,12.08,20.030,36.018,37]heptatriaconta-4(23),5(21),14(37),15,17,26,28,30(36)-octaene-2,7,17,27-tetrol;dihydrochloride	C1CC1CN2CC[C@]34[C@@H]5C6=C(C[C@]3([C@H]2CC7=C4C(=C(C=C7)O)O5)O)C8=C(N6)[C@H]9[C@@]12CCN([C@@H]([C@@]1(C8)O)CC1=C2C(=C(C=C1)O)O9)CC1CC1.Cl.Cl	nor-Binaltorphimine dihydrochloride	PMID: 24134630
OCC([C@H](C(=O)NCCC(=O)[O-])O)(C)C.OCC([C@H](C(=O)NCCC(=O)[O-])O)(C)C.[Ca+2]	1	443753	InChI=1S/2C9H17NO5.Ca/c2*1-9(2,5-11)7(14)8(15)10-4-3-6(12)13;/h2*7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13);/q;;+2/p-2/t2*7-;/m00./s1	calcium;3-[[(2R)-2,4-dihydroxy-3,3-dimethylbutanoyl]amino]propanoate	CC(C)(CO)[C@H](C(=O)NCCC(=O)[O-])O.CC(C)(CO)[C@H](C(=O)NCCC(=O)[O-])O.[Ca+2]	Calcium Pantothenate	DrugAge Database
