Title/Synonyms	IUPAC	InChI	Isomeric_SMILES	Canonical_SMILES	PUBCHEM_CID	Status	Source
1-[4-[(8-Chloro-5,6-dihydro-11H-benzo[5,6]cyclohepta[1,2-b]pyridin)-11-yl]piperazino]-2-(3-pyridinyl)ethanone/CHEMBL334749	1-[4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-pyridin-3-ylethanone	InChI=1S/C25H25ClN4O/c26-21-7-8-22-20(16-21)6-5-19-4-2-10-28-24(19)25(22)30-13-11-29(12-14-30)23(31)15-18-3-1-9-27-17-18/h1-4,7-10,16-17,25H,5-6,11-15H2	C1CC2=C(C=CC(=C2)Cl)C(C3=C1C=CC=N3)N4CCN(CC4)C(=O)CC5=CN=CC=C5	Clc1ccc2c(c1)CCc1c(C2N2CCN(CC2)C(=O)Cc2cccnc2)nccc1	10432980	1	AID_72965_datatable_active
4-[2-(4-{6-Bromo-13-chloro-4-azatricyclo[9.4.0.0^{3,8}]pentadeca-1(11),3,5,7,12,14-hexaen-2-yl}piperazin-1-yl)-2-oxoethyl]piperidine-1-carboxamide/CHEMBL144031	4-[2-[4-(6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-oxoethyl]piperidine-1-carboxamide	InChI=1S/C26H31BrClN5O2/c27-20-14-19-2-1-18-15-21(28)3-4-22(18)25(24(19)30-16-20)32-11-9-31(10-12-32)23(34)13-17-5-7-33(8-6-17)26(29)35/h3-4,14-17,25H,1-2,5-13H2,(H2,29,35)	C1CN(CCC1CC(=O)N2CCN(CC2)C3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4)Cl)C(=O)N	Clc1ccc2c(c1)CCc1c(C2N2CCN(CC2)C(=O)CC2CCN(CC2)C(=O)N)ncc(c1)Br	9959504	1	AID_72965_datatable_active
4-[2-[4-(6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-oxoethyl]-N-propylpiperidine-1-carboxamide/CHEMBL172097	4-[2-[4-(6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-oxoethyl]-N-propylpiperidine-1-carboxamide	InChI=1S/C29H37BrClN5O2/c1-2-9-32-29(38)36-10-7-20(8-11-36)16-26(37)34-12-14-35(15-13-34)28-25-6-5-24(31)18-21(25)3-4-22-17-23(30)19-33-27(22)28/h5-6,17-20,28H,2-4,7-16H2,1H3,(H,32,38)	CCCNC(=O)N1CCC(CC1)CC(=O)N2CCN(CC2)C3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4)Cl	CCCNC(=O)N1CCC(CC1)CC(=O)N1CCN(CC1)C1c2ccc(cc2CCc2c1ncc(c2)Br)Cl	10769930	1	AID_72965_datatable_active
Pyridin-3-yl 4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazine-1-carboxylate/CHEMBL353897	pyridin-3-yl 4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazine-1-carboxylate	InChI=1S/C24H23ClN4O2/c25-19-7-8-21-18(15-19)6-5-17-3-1-10-27-22(17)23(21)28-11-13-29(14-12-28)24(30)31-20-4-2-9-26-16-20/h1-4,7-10,15-16,23H,5-6,11-14H2	C1CC2=C(C=CC(=C2)Cl)C(C3=C1C=CC=N3)N4CCN(CC4)C(=O)OC5=CN=CC=C5	Clc1ccc2c(c1)CCc1c(C2N2CCN(CC2)C(=O)Oc2cccnc2)nccc1	10550827	1	AID_72965_datatable_active
1-[4-(13-Chloro-4-oxido-4-azoniatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-pyridin-3-ylethanone/CHEMBL171751	1-[4-(13-chloro-4-oxido-4-azoniatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-pyridin-3-ylethanone	InChI=1S/C25H25ClN4O2/c26-21-7-8-22-20(16-21)6-5-19-4-2-10-30(32)24(19)25(22)29-13-11-28(12-14-29)23(31)15-18-3-1-9-27-17-18/h1-4,7-10,16-17,25H,5-6,11-15H2	C1CC2=C(C=CC(=C2)Cl)C(C3=C1C=CC=[N+]3[O-])N4CCN(CC4)C(=O)CC5=CN=CC=C5	Clc1ccc2c(c1)CCc1c(C2N2CCN(CC2)C(=O)Cc2cccnc2)[n+]([O-])ccc1	10503667	1	AID_72965_datatable_active
1-[4-(6-Bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-pyridin-4-ylethanone/CHEMBL368295	1-[4-(6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-pyridin-4-ylethanone	InChI=1S/C25H24BrClN4O/c26-20-14-19-2-1-18-15-21(27)3-4-22(18)25(24(19)29-16-20)31-11-9-30(10-12-31)23(32)13-17-5-7-28-8-6-17/h3-8,14-16,25H,1-2,9-13H2	C1CC2=C(C(C3=C1C=C(C=C3)Cl)N4CCN(CC4)C(=O)CC5=CC=NC=C5)N=CC(=C2)Br	Clc1ccc2c(c1)CCc1c(C2N2CCN(CC2)C(=O)Cc2ccncc2)ncc(c1)Br	10553781	1	AID_72965_datatable_active
1-[4-(6-Bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-methyl-2-pyridin-3-ylpropan-1-one/CHEMBL353906	1-[4-(6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-methyl-2-pyridin-3-ylpropan-1-one	InChI=1S/C27H28BrClN4O/c1-27(2,20-4-3-9-30-16-20)26(34)33-12-10-32(11-13-33)25-23-8-7-22(29)15-18(23)5-6-19-14-21(28)17-31-24(19)25/h3-4,7-9,14-17,25H,5-6,10-13H2,1-2H3	CC(C)(C1=CN=CC=C1)C(=O)N2CCN(CC2)C3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4)Cl	Clc1ccc2c(c1)CCc1c(C2N2CCN(CC2)C(=O)C(c2cccnc2)(C)C)ncc(c1)Br	10602521	1	AID_72965_datatable_active
1-[(2S)-4-(6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)-2-(2-methoxyethyl)piperazin-1-yl]-2-(1-oxidopyridin-1-ium-4-yl)ethanone/CHEMBL354588	1-[(2S)-4-(6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)-2-(2-methoxyethyl)piperazin-1-yl]-2-(1-oxidopyridin-1-ium-4-yl)ethanone	InChI=1S/C28H30BrClN4O3/c1-37-13-8-24-18-32(11-12-34(24)26(35)14-19-6-9-33(36)10-7-19)28-25-5-4-23(30)16-20(25)2-3-21-15-22(29)17-31-27(21)28/h4-7,9-10,15-17,24,28H,2-3,8,11-14,18H2,1H3/t24-,28?/m0/s1	COCC[C@H]1CN(CCN1C(=O)CC2=CC=[N+](C=C2)[O-])C3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4)Cl	COCC[C@H]1CN(CCN1C(=O)Cc1cc[n+](cc1)[O-])C1c2ccc(cc2CCc2c1ncc(c2)Br)Cl	10698563	1	AID_72965_datatable_active
4-[(2S)-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl]-N-pyridin-3-ylpiperazine-1-carboxamide/CHEMBL352600	4-[(2S)-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl]-N-pyridin-3-ylpiperazine-1-carboxamide	InChI=1S/C24H24ClN5O/c25-19-7-8-21-18(15-19)6-5-17-3-1-10-27-22(17)23(21)29-11-13-30(14-12-29)24(31)28-20-4-2-9-26-16-20/h1-4,7-10,15-16,23H,5-6,11-14H2,(H,28,31)/t23-/m0/s1	C1CC2=C(C=CC(=C2)Cl)[C@@H](C3=C1C=CC=N3)N4CCN(CC4)C(=O)NC5=CN=CC=C5	Clc1ccc2c(c1)CCc1c([C@H]2N2CCN(CC2)C(=O)Nc2cccnc2)nccc1	10812712	1	AID_72965_datatable_active
1-[4-[(2R)-6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl]piperazin-1-yl]-2-(1-methylpiperidin-4-yl)ethanone/CHEMBL354809	1-[4-[(2R)-6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl]piperazin-1-yl]-2-(1-methylpiperidin-4-yl)ethanone	InChI=1S/C26H32BrClN4O/c1-30-8-6-18(7-9-30)14-24(33)31-10-12-32(13-11-31)26-23-5-4-22(28)16-19(23)2-3-20-15-21(27)17-29-25(20)26/h4-5,15-18,26H,2-3,6-14H2,1H3/t26-/m1/s1	CN1CCC(CC1)CC(=O)N2CCN(CC2)[C@@H]3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4)Cl	CN1CCC(CC1)CC(=O)N1CCN(CC1)[C@@H]1c2ccc(cc2CCc2c1ncc(c2)Br)Cl	10721003	1	AID_72965_datatable_active
4-[2-[(2S)-4-(6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)-2-(2-methoxyethyl)piperazin-1-yl]-2-oxoethyl]piperidine-1-carboxamide/CHEMBL171097	4-[2-[(2S)-4-(6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)-2-(2-methoxyethyl)piperazin-1-yl]-2-oxoethyl]piperidine-1-carboxamide	InChI=1S/C29H37BrClN5O3/c1-39-13-8-24-18-35(11-12-36(24)26(37)14-19-6-9-34(10-7-19)29(32)38)28-25-5-4-23(31)16-20(25)2-3-21-15-22(30)17-33-27(21)28/h4-5,15-17,19,24,28H,2-3,6-14,18H2,1H3,(H2,32,38)/t24-,28?/m0/s1	COCC[C@H]1CN(CCN1C(=O)CC2CCN(CC2)C(=O)N)C3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4)Cl	COCC[C@H]1CN(CCN1C(=O)CC1CCN(CC1)C(=O)N)C1c2ccc(cc2CCc2c1ncc(c2)Br)Cl	10627659	1	AID_72965_datatable_active
1-[4-(13-Chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-(1-oxidopyridin-1-ium-3-yl)ethanone/CHEMBL172580	1-[4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-(1-oxidopyridin-1-ium-3-yl)ethanone	InChI=1S/C25H25ClN4O2/c26-21-7-8-22-20(16-21)6-5-19-4-1-9-27-24(19)25(22)29-13-11-28(12-14-29)23(31)15-18-3-2-10-30(32)17-18/h1-4,7-10,16-17,25H,5-6,11-15H2	C1CC2=C(C=CC(=C2)Cl)C(C3=C1C=CC=N3)N4CCN(CC4)C(=O)CC5=C[N+](=CC=C5)[O-]	[O-][n+]1cccc(c1)CC(=O)N1CCN(CC1)C1c2ccc(cc2CCc2c1nccc2)Cl	10478862	1	AID_72965_datatable_active
2-(1-Acetylpiperidin-4-yl)-1-[4-(6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]ethanone/CHEMBL354747	2-(1-acetylpiperidin-4-yl)-1-[4-(6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]ethanone	InChI=1S/C27H32BrClN4O2/c1-18(34)31-8-6-19(7-9-31)14-25(35)32-10-12-33(13-11-32)27-24-5-4-23(29)16-20(24)2-3-21-15-22(28)17-30-26(21)27/h4-5,15-17,19,27H,2-3,6-14H2,1H3	CC(=O)N1CCC(CC1)CC(=O)N2CCN(CC2)C3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4)Cl	Clc1ccc2c(c1)CCc1c(C2N2CCN(CC2)C(=O)CC2CCN(CC2)C(=O)C)ncc(c1)Br	10745444	1	AID_72965_datatable_active
2-(1-Acetylpiperidin-4-yl)-1-[4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]ethanone/CHEMBL353854	2-(1-acetylpiperidin-4-yl)-1-[4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]ethanone	InChI=1S/C27H33ClN4O2/c1-19(33)30-11-8-20(9-12-30)17-25(34)31-13-15-32(16-14-31)27-24-7-6-23(28)18-22(24)5-4-21-3-2-10-29-26(21)27/h2-3,6-7,10,18,20,27H,4-5,8-9,11-17H2,1H3	CC(=O)N1CCC(CC1)CC(=O)N2CCN(CC2)C3C4=C(CCC5=C3N=CC=C5)C=C(C=C4)Cl	Clc1ccc2c(c1)CCc1c(C2N2CCN(CC2)C(=O)CC2CCN(CC2)C(=O)C)nccc1	10790910	1	AID_72965_datatable_active
1-[4-(7,13-Dichloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3,5,7,12,14-hexaen-2-yl)piperazin-1-yl]-2-(1-methylpiperidin-4-yl)ethanone/CHEMBL170014	1-[4-(7,13-dichloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3,5,7,12,14-hexaen-2-yl)piperazin-1-yl]-2-(1-methylpiperidin-4-yl)ethanone	InChI=1S/C26H32Cl2N4O/c1-30-10-7-18(8-11-30)16-24(33)31-12-14-32(15-13-31)26-21-5-3-20(27)17-19(21)2-4-22-23(28)6-9-29-25(22)26/h3,5-6,9,17-18,26H,2,4,7-8,10-16H2,1H3	CN1CCC(CC1)CC(=O)N2CCN(CC2)C3C4=C(CCC5=C(C=CN=C35)Cl)C=C(C=C4)Cl	CN1CCC(CC1)CC(=O)N1CCN(CC1)C1c2ccc(cc2CCc2c1nccc2Cl)Cl	10814818	1	AID_72965_datatable_active
4-[2-[(2S)-4-(6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)-2-butylpiperazin-1-yl]-2-oxoethyl]piperidine-1-carboxamide/CHEMBL169867	4-[2-[(2S)-4-(6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)-2-butylpiperazin-1-yl]-2-oxoethyl]piperidine-1-carboxamide	InChI=1S/C30H39BrClN5O2/c1-2-3-4-25-19-36(13-14-37(25)27(38)15-20-9-11-35(12-10-20)30(33)39)29-26-8-7-24(32)17-21(26)5-6-22-16-23(31)18-34-28(22)29/h7-8,16-18,20,25,29H,2-6,9-15,19H2,1H3,(H2,33,39)/t25-,29?/m0/s1	CCCC[C@H]1CN(CCN1C(=O)CC2CCN(CC2)C(=O)N)C3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4)Cl	CCCC[C@H]1CN(CCN1C(=O)CC1CCN(CC1)C(=O)N)C1c2ccc(cc2CCc2c1ncc(c2)Br)Cl	10770123	1	AID_72965_datatable_active
2-(1-acetylpiperidin-4-yl)-1-[4-[(2S)-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl]piperazin-1-yl]ethanone/CHEMBL355717	2-(1-acetylpiperidin-4-yl)-1-[4-[(2S)-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl]piperazin-1-yl]ethanone	InChI=1S/C27H33ClN4O2/c1-19(33)30-11-8-20(9-12-30)17-25(34)31-13-15-32(16-14-31)27-24-7-6-23(28)18-22(24)5-4-21-3-2-10-29-26(21)27/h2-3,6-7,10,18,20,27H,4-5,8-9,11-17H2,1H3/t27-/m0/s1	CC(=O)N1CCC(CC1)CC(=O)N2CCN(CC2)[C@H]3C4=C(CCC5=C3N=CC=C5)C=C(C=C4)Cl	Clc1ccc2c(c1)CCc1c([C@H]2N2CCN(CC2)C(=O)CC2CCN(CC2)C(=O)C)nccc1	10696114	1	AID_72965_datatable_active
1-[4-(6-Bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-methyl-2-(1-oxidopyridin-1-ium-4-yl)propan-1-one/CHEMBL171785	1-[4-(6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-methyl-2-(1-oxidopyridin-1-ium-4-yl)propan-1-one	InChI=1S/C27H28BrClN4O2/c1-27(2,20-7-9-33(35)10-8-20)26(34)32-13-11-31(12-14-32)25-23-6-5-22(29)16-18(23)3-4-19-15-21(28)17-30-24(19)25/h5-10,15-17,25H,3-4,11-14H2,1-2H3	CC(C)(C1=CC=[N+](C=C1)[O-])C(=O)N2CCN(CC2)C3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4)Cl	[O-][n+]1ccc(cc1)C(C(=O)N1CCN(CC1)C1c2ccc(cc2CCc2c1ncc(c2)Br)Cl)(C)C	10745350	1	AID_72965_datatable_active
