Name	Compound IUPAC	InChI	Canonical_SMILES	PUBCHEM_CID	Status	Source
3-[6-[4-[6-(2-Oxo-1,3-benzothiazol-3-yl)hexyl]piperazin-1-yl]hexyl]-1,3-benzothiazol-2-one	3-[6-[4-[6-(2-oxo-1,3-benzothiazol-3-yl)hexyl]piperazin-1-yl]hexyl]-1,3-benzothiazol-2-one	InChI=1S/C30H40N4O2S2/c35-29-33(25-13-5-7-15-27(25)37-29)19-11-3-1-9-17-31-21-23-32(24-22-31)18-10-2-4-12-20-34-26-14-6-8-16-28(26)38-30(34)36/h5-8,13-16H,1-4,9-12,17-24H2	O=c1sc2c(n1CCCCCCN1CCN(CC1)CCCCCCn1c(=O)sc3c1cccc3)cccc2	122183394	1	AID_1236782_datatable_active
3-[5-[4-[2-(2-Oxo-1,3-benzoxazol-3-yl)ethyl]piperazin-1-yl]pentyl]-1,3-benzoxazol-2-one	3-[5-[4-[2-(2-oxo-1,3-benzoxazol-3-yl)ethyl]piperazin-1-yl]pentyl]-1,3-benzoxazol-2-one	InChI=1S/C25H30N4O4/c30-24-28(20-8-2-4-10-22(20)32-24)13-7-1-6-12-26-14-16-27(17-15-26)18-19-29-21-9-3-5-11-23(21)33-25(29)31/h2-5,8-11H,1,6-7,12-19H2	O=c1oc2c(n1CCCCCN1CCN(CC1)CCn1c(=O)oc3c1cccc3)cccc2	58511876	1	AID_1236782_datatable_active
3-[5-[4-[2-(2-Oxo-1,3-benzothiazol-3-yl)ethyl]piperazin-1-yl]pentyl]-1,3-benzothiazol-2-one	3-[5-[4-[2-(2-oxo-1,3-benzothiazol-3-yl)ethyl]piperazin-1-yl]pentyl]-1,3-benzothiazol-2-one	InChI=1S/C25H30N4O2S2/c30-24-28(20-8-2-4-10-22(20)32-24)13-7-1-6-12-26-14-16-27(17-15-26)18-19-29-21-9-3-5-11-23(21)33-25(29)31/h2-5,8-11H,1,6-7,12-19H2	O=c1sc2c(n1CCCCCN1CCN(CC1)CCn1c(=O)sc3c1cccc3)cccc2	122183397	1	AID_1236782_datatable_active
3-[6-[4-[2-(2-Oxo-1,3-benzoxazol-3-yl)ethyl]piperazin-1-yl]hexyl]-1,3-benzoxazol-2-one	3-[6-[4-[2-(2-oxo-1,3-benzoxazol-3-yl)ethyl]piperazin-1-yl]hexyl]-1,3-benzoxazol-2-one	InChI=1S/C26H32N4O4/c31-25-29(21-9-3-5-11-23(21)33-25)14-8-2-1-7-13-27-15-17-28(18-16-27)19-20-30-22-10-4-6-12-24(22)34-26(30)32/h3-6,9-12H,1-2,7-8,13-20H2	O=c1oc2c(n1CCCCCCN1CCN(CC1)CCn1c(=O)oc3c1cccc3)cccc2	122183398	1	AID_1236782_datatable_active
3-[6-[4-[2-(2-Oxo-1,3-benzothiazol-3-yl)ethyl]piperazin-1-yl]hexyl]-1,3-benzothiazol-2-one	3-[6-[4-[2-(2-oxo-1,3-benzothiazol-3-yl)ethyl]piperazin-1-yl]hexyl]-1,3-benzothiazol-2-one	InChI=1S/C26H32N4O2S2/c31-25-29(21-9-3-5-11-23(21)33-25)14-8-2-1-7-13-27-15-17-28(18-16-27)19-20-30-22-10-4-6-12-24(22)34-26(30)32/h3-6,9-12H,1-2,7-8,13-20H2	O=c1sc2c(n1CCCCCCN1CCN(CC1)CCn1c(=O)sc3c1cccc3)cccc2	122183399	1	AID_1236782_datatable_active
3-[4-[4-[3-(2-Oxo-1,3-benzothiazol-3-yl)propyl]piperazin-1-yl]butyl]-1,3-benzothiazol-2-one	3-[4-[4-[3-(2-oxo-1,3-benzothiazol-3-yl)propyl]piperazin-1-yl]butyl]-1,3-benzothiazol-2-one	InChI=1S/C25H30N4O2S2/c30-24-28(20-8-1-3-10-22(20)32-24)14-6-5-12-26-16-18-27(19-17-26)13-7-15-29-21-9-2-4-11-23(21)33-25(29)31/h1-4,8-11H,5-7,12-19H2	O=c1sc2c(n1CCCCN1CCN(CC1)CCCn1c(=O)sc3c1cccc3)cccc2	122183401	1	AID_1236782_datatable_active
3-[5-[4-[3-(2-Oxo-1,3-benzothiazol-3-yl)propyl]piperazin-1-yl]pentyl]-1,3-benzothiazol-2-one	3-[5-[4-[3-(2-oxo-1,3-benzothiazol-3-yl)propyl]piperazin-1-yl]pentyl]-1,3-benzothiazol-2-one	InChI=1S/C26H32N4O2S2/c31-25-29(21-9-2-4-11-23(21)33-25)15-7-1-6-13-27-17-19-28(20-18-27)14-8-16-30-22-10-3-5-12-24(22)34-26(30)32/h2-5,9-12H,1,6-8,13-20H2	O=c1sc2c(n1CCCCCN1CCN(CC1)CCCn1c(=O)sc3c1cccc3)cccc2	122183403	1	AID_1236782_datatable_active
3-[6-[4-[3-(2-Oxo-1,3-benzothiazol-3-yl)propyl]piperazin-1-yl]hexyl]-1,3-benzothiazol-2-one	3-[6-[4-[3-(2-oxo-1,3-benzothiazol-3-yl)propyl]piperazin-1-yl]hexyl]-1,3-benzothiazol-2-one	InChI=1S/C27H34N4O2S2/c32-26-30(22-10-3-5-12-24(22)34-26)16-8-2-1-7-14-28-18-20-29(21-19-28)15-9-17-31-23-11-4-6-13-25(23)35-27(31)33/h3-6,10-13H,1-2,7-9,14-21H2	O=c1sc2c(n1CCCCCCN1CCN(CC1)CCCn1c(=O)sc3c1cccc3)cccc2	122183405	1	AID_1236782_datatable_active
3-[5-[4-[4-(2-Oxo-1,3-benzothiazol-3-yl)butyl]piperazin-1-yl]pentyl]-1,3-benzothiazol-2-one	3-[5-[4-[4-(2-oxo-1,3-benzothiazol-3-yl)butyl]piperazin-1-yl]pentyl]-1,3-benzothiazol-2-one	InChI=1S/C27H34N4O2S2/c32-26-30(22-10-2-4-12-24(22)34-26)16-7-1-6-14-28-18-20-29(21-19-28)15-8-9-17-31-23-11-3-5-13-25(23)35-27(31)33/h2-5,10-13H,1,6-9,14-21H2	O=c1sc2c(n1CCCCCN1CCN(CC1)CCCCn1c(=O)sc3c1cccc3)cccc2	122183407	1	AID_1236782_datatable_active
3-[6-[4-[4-(2-Oxo-1,3-benzoxazol-3-yl)butyl]piperazin-1-yl]hexyl]-1,3-benzoxazol-2-one	3-[6-[4-[4-(2-oxo-1,3-benzoxazol-3-yl)butyl]piperazin-1-yl]hexyl]-1,3-benzoxazol-2-one	InChI=1S/C28H36N4O4/c33-27-31(23-11-3-5-13-25(23)35-27)17-8-2-1-7-15-29-19-21-30(22-20-29)16-9-10-18-32-24-12-4-6-14-26(24)36-28(32)34/h3-6,11-14H,1-2,7-10,15-22H2	O=c1oc2c(n1CCCCCCN1CCN(CC1)CCCCn1c(=O)oc3c1cccc3)cccc2	122183408	1	AID_1236782_datatable_active
3-[6-[4-[4-(2-Oxo-1,3-benzothiazol-3-yl)butyl]piperazin-1-yl]hexyl]-1,3-benzothiazol-2-one	3-[6-[4-[4-(2-oxo-1,3-benzothiazol-3-yl)butyl]piperazin-1-yl]hexyl]-1,3-benzothiazol-2-one	InChI=1S/C28H36N4O2S2/c33-27-31(23-11-3-5-13-25(23)35-27)17-8-2-1-7-15-29-19-21-30(22-20-29)16-9-10-18-32-24-12-4-6-14-26(24)36-28(32)34/h3-6,11-14H,1-2,7-10,15-22H2	O=c1sc2c(n1CCCCCCN1CCN(CC1)CCCCn1c(=O)sc3c1cccc3)cccc2	122183409	1	AID_1236782_datatable_active
3-[6-[4-[5-(2-Oxo-1,3-benzoxazol-3-yl)pentyl]piperazin-1-yl]hexyl]-1,3-benzoxazol-2-one	3-[6-[4-[5-(2-oxo-1,3-benzoxazol-3-yl)pentyl]piperazin-1-yl]hexyl]-1,3-benzoxazol-2-one	InChI=1S/C29H38N4O4/c34-28-32(24-12-4-6-14-26(24)36-28)18-10-2-1-8-16-30-20-22-31(23-21-30)17-9-3-11-19-33-25-13-5-7-15-27(25)37-29(33)35/h4-7,12-15H,1-3,8-11,16-23H2	O=c1oc2c(n1CCCCCCN1CCN(CC1)CCCCCn1c(=O)oc3c1cccc3)cccc2	122183410	1	AID_1236782_datatable_active
3-[6-[4-[5-(2-Oxo-1,3-benzothiazol-3-yl)pentyl]piperazin-1-yl]hexyl]-1,3-benzothiazol-2-one	3-[6-[4-[5-(2-oxo-1,3-benzothiazol-3-yl)pentyl]piperazin-1-yl]hexyl]-1,3-benzothiazol-2-one	InChI=1S/C29H38N4O2S2/c34-28-32(24-12-4-6-14-26(24)36-28)18-10-2-1-8-16-30-20-22-31(23-21-30)17-9-3-11-19-33-25-13-5-7-15-27(25)37-29(33)35/h4-7,12-15H,1-3,8-11,16-23H2	O=c1sc2c(n1CCCCCCN1CCN(CC1)CCCCCn1c(=O)sc3c1cccc3)cccc2	122183411	1	AID_1236782_datatable_active
1,4-Bis[4-[(benzoxazole-2-yl)thio]butyl]piperazine	2-[4-[4-[4-(1,3-benzoxazol-2-ylsulfanyl)butyl]piperazin-1-yl]butylsulfanyl]-1,3-benzoxazole	InChI=1S/C26H32N4O2S2/c1-3-11-23-21(9-1)27-25(31-23)33-19-7-5-13-29-15-17-30(18-16-29)14-6-8-20-34-26-28-22-10-2-4-12-24(22)32-26/h1-4,9-12H,5-8,13-20H2	C(CSc1nc2c(o1)cccc2)CCN1CCN(CC1)CCCCSc1nc2c(o1)cccc2	122183412	1	AID_1236782_datatable_active
1,4-Bis[4-[(benzothiazole-2-yl)thio]butyl]piperazine	2-[4-[4-[4-(1,3-benzothiazol-2-ylsulfanyl)butyl]piperazin-1-yl]butylsulfanyl]-1,3-benzothiazole	InChI=1S/C26H32N4S4/c1-3-11-23-21(9-1)27-25(33-23)31-19-7-5-13-29-15-17-30(18-16-29)14-6-8-20-32-26-28-22-10-2-4-12-24(22)34-26/h1-4,9-12H,5-8,13-20H2	C(CSc1nc2c(s1)cccc2)CCN1CCN(CC1)CCCCSc1nc2c(s1)cccc2	122183413	1	AID_1236782_datatable_active
Helenalin	(3aR,5R,5aR,8aR,9S,9aS)-9-hydroxy-5,8a-dimethyl-1-methylidene-3a,4,5,5a,9,9a-hexahydroazuleno[6,7-b]furan-2,8-dione	InChI=1S/C15H18O4/c1-7-6-10-12(8(2)14(18)19-10)13(17)15(3)9(7)4-5-11(15)16/h4-5,7,9-10,12-13,17H,2,6H2,1,3H3/t7-,9+,10-,12-,13+,15+/m1/s1	C=C1C(=O)O[C@H]2[C@@H]1[C@H](O)[C@]1(C)C(=O)C=C[C@H]1[C@@H](C2)C	23205	1	AID_242927_datatable_active
15-Isovalerylmiguanin	[(3aS,6Z,10E,11aR)-6-(hydroxymethyl)-3-methylidene-2,5-dioxo-4,8,9,11a-tetrahydro-3aH-cyclodeca[b]furan-10-yl]methyl 3-methylbutanoate	InChI=1S/C20H26O6/c1-12(2)7-19(23)25-11-14-5-4-6-15(10-21)17(22)9-16-13(3)20(24)26-18(16)8-14/h6,8,12,16,18,21H,3-5,7,9-11H2,1-2H3/b14-8+,15-6-/t16-,18+/m0/s1	OC/C/1=C/CC/C(=C\[C@@H]2[C@@H](CC1=O)C(=C)C(=O)O2)/COC(=O)CC(C)C	22297644	1	AID_242927_datatable_active
(4S,5S,6E,10E)-2,3,3abeta,4,5,8,9,11aalpha-Octahydro-2-oxo-3-methylene-4-hydroxy-5-(methacryloyloxy)-10-methylcyclodeca[b]furan-6-carbaldehyde	[(3aR,4S,5S,6E,10Z,11aR)-6-formyl-4-hydroxy-10-methyl-3-methylidene-2-oxo-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-5-yl] 2-methylprop-2-enoate	InChI=1S/C19H22O6/c1-10(2)18(22)25-17-13(9-20)7-5-6-11(3)8-14-15(16(17)21)12(4)19(23)24-14/h7-9,14-17,21H,1,4-6H2,2-3H3/b11-8-,13-7-/t14-,15+,16+,17+/m1/s1	O=C/C/1=C/CC/C(=C\[C@@H]2[C@@H]([C@@H]([C@H]1OC(=O)C(=C)C)O)C(=C)C(=O)O2)/C	44398208	1	AID_242927_datatable_active
miller-9E-enolide	[(3aR,4R,5E,11S,11aS)-6-formyl-11-hydroxy-3,10-dimethylidene-2-oxo-4,7,8,9,11,11a-hexahydro-3aH-cyclodeca[b]furan-4-yl] 2-methylprop-2-enoate	InChI=1S/C19H22O6/c1-10(2)18(22)24-14-8-13(9-20)7-5-6-11(3)16(21)17-15(14)12(4)19(23)25-17/h8-9,14-17,21H,1,3-7H2,2H3/b13-8+/t14-,15-,16+,17+/m1/s1	O=C/C/1=C/[C@@H](OC(=O)C(=C)C)[C@H]2C(=C)C(=O)O[C@@H]2[C@H](C(=C)CCC1)O	44398214	1	AID_242927_datatable_active
Scandenolide	[(1R,2R,6S,8S,10R,12R)-8-methyl-3-methylidene-4,14-dioxo-5,9,15-trioxatetracyclo[11.2.1.02,6.08,10]hexadec-13(16)-en-12-yl] acetate	InChI=1S/C17H18O7/c1-7-14-11-4-9(16(20)22-11)10(21-8(2)18)5-13-17(3,24-13)6-12(14)23-15(7)19/h4,10-14H,1,5-6H2,2-3H3/t10-,11-,12+,13-,14+,17+/m1/s1	CC(=O)O[C@@H]1C[C@H]2O[C@@]2(C)C[C@H]2[C@H]([C@H]3C=C1C(=O)O3)C(=C)C(=O)O2	44398226	1	AID_242927_datatable_active
